suite,reasoner,repetition,synthetic_users,synthetic_triples,calibration_reused,endpoint,role,tier_name,status,censored,reasoning_ms,generation_ms,prepare_transport_attempts,calibration_query_ms,calibration_transport_attempts,predicted_query_ms,measured_query_ms,query_count,query_transport_attempts,query_id,category,tier,duration_ms,result_count,ask_result,result_digest,failed_phase,timeout_seconds,error
scalability,rdfs,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,401.725591,3.308402,1,175.79613,1,583.2068980000003,602.641199,58,1,,,,,,,,,,
scalability,rdfs,1,10,721,True,http://10.151.73.241:8391,fog,fog,completed,False,1909.175999,13.837963,1,770.6807,1,584.949274,498.776039,14,1,,,,,,,,,,
scalability,rdfs,1,10,721,True,http://10.151.73.34:8391,edge1,edge,completed,False,1879.070481,79.534777,1,783.446906,1,580.651721,724.127534,15,1,,,,,,,,,,
scalability,rdfs,1,10,721,True,http://10.151.73.143:8391,edge2,edge,completed,False,1859.162703,13.915982,1,809.3962610000001,1,572.386093,694.8197220000001,14,1,,,,,,,,,,
scalability,rdfs,1,10,721,True,http://10.151.73.173:8391,edge3,edge,completed,False,1879.371128,14.909037,1,773.071154,1,573.4242769999998,791.177269,14,1,,,,,,,,,,
scalability,rdfs,2,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,384.213494,3.513484,1,175.79613,1,583.2068980000003,583.23523,58,1,,,,,,,,,,
scalability,rdfs,2,10,721,True,http://10.151.73.241:8391,fog,fog,completed,False,1897.122461,14.716315,1,770.6807,1,584.949274,406.253351,14,1,,,,,,,,,,
scalability,rdfs,2,10,721,True,http://10.151.73.34:8391,edge1,edge,completed,False,1902.105462,14.080019,1,783.446906,1,580.651721,725.946408,15,1,,,,,,,,,,
scalability,rdfs,2,10,721,True,http://10.151.73.143:8391,edge2,edge,completed,False,1917.790147,99.653445,1,809.3962610000001,1,572.386093,693.2923169999999,14,1,,,,,,,,,,
scalability,rdfs,2,10,721,True,http://10.151.73.173:8391,edge3,edge,completed,False,1894.760592,13.91011,1,773.071154,1,573.4242769999998,688.08488,14,1,,,,,,,,,,
scalability,rdfs,3,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,374.660989,3.223921,1,175.79613,1,583.2068980000003,597.156808,58,1,,,,,,,,,,
scalability,rdfs,3,10,721,True,http://10.151.73.241:8391,fog,fog,completed,False,1890.906221,13.962833,1,770.6807,1,584.949274,535.996035,14,1,,,,,,,,,,
scalability,rdfs,3,10,721,True,http://10.151.73.34:8391,edge1,edge,completed,False,1898.821166,13.919259,1,783.446906,1,580.651721,749.10061,15,1,,,,,,,,,,
scalability,rdfs,3,10,721,True,http://10.151.73.143:8391,edge2,edge,completed,False,1887.892406,15.312704,1,809.3962610000001,1,572.386093,587.609261,14,1,,,,,,,,,,
scalability,rdfs,3,10,721,True,http://10.151.73.173:8391,edge3,edge,completed,False,1901.5351,15.032296,1,773.071154,1,573.4242769999998,784.5153339999999,14,1,,,,,,,,,,
scalability,owlrl,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,1662.404288,3.478619,1,171.837241,1,551.087991,650.232822,55,1,,,,,,,,,,
scalability,owlrl,1,10,721,True,http://10.151.73.241:8391,fog,fog,completed,False,8150.688662,13.917555,1,730.330445,1,548.386703,786.678204,15,1,,,,,,,,,,
scalability,owlrl,1,10,721,True,http://10.151.73.34:8391,edge1,edge,completed,False,8076.009088,78.954945,1,735.332593,1,545.8253710000001,540.026702,15,1,,,,,,,,,,
scalability,owlrl,1,10,721,True,http://10.151.73.143:8391,edge2,edge,completed,False,7739.648329,14.850056,1,801.289891,1,548.431336,620.828353,14,1,,,,,,,,,,
scalability,owlrl,1,10,721,True,http://10.151.73.173:8391,edge3,edge,completed,False,8197.293049,13.98011,1,734.041825,1,554.193936,660.490956,16,1,,,,,,,,,,
scalability,owlrl,2,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,1685.119428,3.25491,1,171.837241,1,551.087991,581.086871,55,1,,,,,,,,,,
scalability,owlrl,2,10,721,True,http://10.151.73.241:8391,fog,fog,completed,False,8054.057458,15.049,1,730.330445,1,548.386703,895.895573,15,1,,,,,,,,,,
scalability,owlrl,2,10,721,True,http://10.151.73.34:8391,edge1,edge,completed,False,8107.369106,15.177,1,735.332593,1,545.8253710000001,428.252316,15,1,,,,,,,,,,
scalability,owlrl,2,10,721,True,http://10.151.73.143:8391,edge2,edge,completed,False,7840.648217,14.621185,1,801.289891,1,548.431336,619.763352,14,1,,,,,,,,,,
scalability,owlrl,2,10,721,True,http://10.151.73.173:8391,edge3,edge,completed,False,8213.842069,13.942573,1,734.041825,1,554.193936,529.582773,16,1,,,,,,,,,,
scalability,owlrl,3,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,1635.950166,3.455075,1,171.837241,1,551.087991,659.750439,55,1,,,,,,,,,,
scalability,owlrl,3,10,721,True,http://10.151.73.241:8391,fog,fog,completed,False,8065.084533,14.725129,1,730.330445,1,548.386703,891.951647,15,1,,,,,,,,,,
scalability,owlrl,3,10,721,True,http://10.151.73.34:8391,edge1,edge,completed,False,8136.994606,15.011352,1,735.332593,1,545.8253710000001,428.028702,15,1,,,,,,,,,,
scalability,owlrl,3,10,721,True,http://10.151.73.143:8391,edge2,edge,completed,False,7975.899069,14.109982,1,801.289891,1,548.431336,475.774722,14,1,,,,,,,,,,
scalability,owlrl,3,10,721,True,http://10.151.73.173:8391,edge3,edge,completed,False,8241.929456,15.060907,1,734.041825,1,554.193936,529.430477,16,1,,,,,,,,,,
scalability,rdfs_owlrl,1,10,721,True,http://127.0.0.1:8391,cloud,cloud,completed,False,3203.648664,3.112953,1,218.801811,1,620.5540659999996,617.809611,53,1,,,,,,,,,,
scalability,rdfs_owlrl,1,10,721,True,http://10.151.73.241:8391,fog,fog,completed,False,15423.795047,14.926685,1,908.15209,1,620.0788510000001,585.5804989999999,16,1,,,,,,,,,,
scalability,rdfs_owlrl,1,10,721,True,http://10.151.73.34:8391,edge1,edge,completed,False,15362.024102,13.912,1,866.771593,1,620.7116859999999,663.210165,15,1,,,,,,,,,,
