reasoner,repetition,synthetic_users,synthetic_triples,calibration_reused,status,censored,query_count,node_count,prepare_wall_ms,calibration_wall_ms_excluded,node_reasoning_ms_sum,max_node_reasoning_ms,query_wall_ms,prepare_transport_retry_count,query_transport_retry_count,node_query_ms_sum,max_predicted_node_ms,balance_efficiency,total_wall_ms,input_triples_per_replica,output_triples_per_replica,node_generation_ms_sum,censored_lower_bound_ms,failed_phase,timeout_seconds,error
owlrl,3,2500,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge3 endpoint=http://10.151.73.173:8391 after 58112.91 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
rdfs_owlrl,1,2500,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 58068.58 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
rdfs_owlrl,2,2500,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 58068.58 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
rdfs_owlrl,3,2500,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 58068.58 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
rdfs,1,5000,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 58161.42 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
rdfs,2,5000,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 58161.42 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
rdfs,3,5000,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 58161.42 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
owlrl,1,5000,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge3 endpoint=http://10.151.73.173:8391 after 58112.91 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
owlrl,2,5000,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge3 endpoint=http://10.151.73.173:8391 after 58112.91 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
owlrl,3,5000,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge3 endpoint=http://10.151.73.173:8391 after 58112.91 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
rdfs_owlrl,1,5000,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 58068.58 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
rdfs_owlrl,2,5000,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 58068.58 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
rdfs_owlrl,3,5000,,False,skipped_after_timeout,True,115,5,,,,,,,,,,,,,,,0.0,early-stop,90.0,"RuntimeError: Distributed phase 'prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 58068.58 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 58.0s"", ""timeout"": true}"
