architecture,node_count,reasoner,repetition,query_round,status,error,synthetic_users,target_triples_per_replica,rule_count,query_count,query_wall_ms,queries_per_second,query_latency_p50_ms,query_latency_p95_ms,query_latency_p99_ms,result_digest_consistent,assignment_strategy,assignment_counts,predicted_max_node_query_ms,prepare_wall_ms_excluded,max_node_reasoning_ms_excluded,logical_input_triples,aggregate_replica_triples,storage_replication_factor,node_query_cpu_ms_sum,node_query_process_cpu_ms_sum,max_peak_rss_kib,sum_current_rss_kib,query_request_bytes_sum,query_response_bytes_sum
physical,3,rdfs,1,0,warmup_failed,"RuntimeError: Distributed phase 'experiment-balanced-queries' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 19146.18 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 19.1s"", ""timeout"": true}; query_ids=BASE-Q01,BASE-Q02,BASE-Q03,BASE-Q04,BASE-Q05,BASE-Q06,BASE-Q07,BASE-Q08,BASE-Q09,BASE-Q10,BASE-Q11,BASE-Q12,...(+103)",,,,,,,,,,,,,,39869.775651,,,,,,,,,,
physical,3,rdfs,2,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-balanced-queries' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 19146.18 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 19.1s"", ""timeout"": true}; query_ids=BASE-Q01,BASE-Q02,BASE-Q03,BASE-Q04,BASE-Q05,BASE-Q06,BASE-Q07,BASE-Q08,BASE-Q09,BASE-Q10,BASE-Q11,BASE-Q12,...(+103)",,,,,,,,,,,,,,,,,,,,,,,,
physical,3,rdfs,3,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-balanced-queries' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 19146.18 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 19.1s"", ""timeout"": true}; query_ids=BASE-Q01,BASE-Q02,BASE-Q03,BASE-Q04,BASE-Q05,BASE-Q06,BASE-Q07,BASE-Q08,BASE-Q09,BASE-Q10,BASE-Q11,BASE-Q12,...(+103)",,,,,,,,,,,,,,,,,,,,,,,,
physical,3,owlrl,1,0,timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 44083.77 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,3,owlrl,2,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 44083.77 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,3,owlrl,3,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 44083.77 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,3,rdfs_owlrl,1,0,timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=fog endpoint=http://10.151.73.241:8391 after 44022.50 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,3,rdfs_owlrl,2,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=fog endpoint=http://10.151.73.241:8391 after 44022.50 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,3,rdfs_owlrl,3,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=fog endpoint=http://10.151.73.241:8391 after 44022.50 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,5,rdfs,1,0,warmup_failed,"RuntimeError: Distributed phase 'experiment-balanced-queries' failed on role=fog endpoint=http://10.151.73.241:8391 after 18866.29 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 18.9s"", ""timeout"": true}; query_ids=BASE-Q01,BASE-Q02,BASE-Q03,BASE-Q04,BASE-Q05,BASE-Q06,BASE-Q07,BASE-Q08,BASE-Q09,BASE-Q10,BASE-Q11,BASE-Q12,...(+103)",,,,,,,,,,,,,,40147.47,,,,,,,,,,
physical,5,rdfs,2,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-balanced-queries' failed on role=fog endpoint=http://10.151.73.241:8391 after 18866.29 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 18.9s"", ""timeout"": true}; query_ids=BASE-Q01,BASE-Q02,BASE-Q03,BASE-Q04,BASE-Q05,BASE-Q06,BASE-Q07,BASE-Q08,BASE-Q09,BASE-Q10,BASE-Q11,BASE-Q12,...(+103)",,,,,,,,,,,,,,,,,,,,,,,,
physical,5,rdfs,3,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-balanced-queries' failed on role=fog endpoint=http://10.151.73.241:8391 after 18866.29 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 18.9s"", ""timeout"": true}; query_ids=BASE-Q01,BASE-Q02,BASE-Q03,BASE-Q04,BASE-Q05,BASE-Q06,BASE-Q07,BASE-Q08,BASE-Q09,BASE-Q10,BASE-Q11,BASE-Q12,...(+103)",,,,,,,,,,,,,,,,,,,,,,,,
physical,5,owlrl,1,0,timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=edge2 endpoint=http://10.151.73.143:8391 after 44023.53 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,5,owlrl,2,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=edge2 endpoint=http://10.151.73.143:8391 after 44023.53 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,5,owlrl,3,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=edge2 endpoint=http://10.151.73.143:8391 after 44023.53 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,5,rdfs_owlrl,1,0,timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 44024.61 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,5,rdfs_owlrl,2,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 44024.61 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
physical,5,rdfs_owlrl,3,0,skipped_after_timeout,"RuntimeError: Distributed phase 'experiment-replicated-prepare' failed on role=edge1 endpoint=http://10.151.73.34:8391 after 44024.61 ms: HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,,,,,,,,,,,,
