suite,reasoner,repetition,stage,added_category,calibration_reused,endpoint,role,tier_name,status,censored,reasoning_ms,generation_ms,prepare_transport_attempts,calibration_query_ms,calibration_transport_attempts,predicted_query_ms,measured_query_ms,query_count,query_transport_attempts
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,277.55459199999996,144.50298199999997,7,1
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,275.468739,213.671424,7,1
cumulative,rdfs,1,7,context_zones,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,266.932114,269.693504,9,1
cumulative,rdfs,1,8,trust,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,297.832526,371.603204,23,1
cumulative,rdfs,1,8,trust,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,290.81922199999997,306.318888,10,1
cumulative,rdfs,1,8,trust,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,285.93805499999996,236.086703,7,1
cumulative,rdfs,1,8,trust,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,287.135498,135.35979500000002,7,1
cumulative,rdfs,1,8,trust,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,285.849064,256.815284,10,1
cumulative,rdfs,1,9,decision,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,342.69982099999993,411.670025,32,1
cumulative,rdfs,1,9,decision,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,333.10625799999997,437.098704,12,1
cumulative,rdfs,1,9,decision,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,328.11601899999994,304.685739,9,1
cumulative,rdfs,1,9,decision,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,329.85024,201.457221,9,1
cumulative,rdfs,1,9,decision,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,327.56219,334.076916,12,1
cumulative,rdfs,1,10,policy_governance,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,391.23800099999994,288.868651,37,1
cumulative,rdfs,1,10,policy_governance,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,391.865073,375.378684,12,1
cumulative,rdfs,1,10,policy_governance,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,380.786001,289.31326,10,1
cumulative,rdfs,1,10,policy_governance,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,393.86455600000005,409.573223,11,1
cumulative,rdfs,1,10,policy_governance,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,387.840968,679.156258,12,1
cumulative,rdfs,1,11,adaptation,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,406.853641,374.54273,42,1
cumulative,rdfs,1,11,adaptation,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,406.457295,383.864463,13,1
cumulative,rdfs,1,11,adaptation,True,http://10.151.73.34:8391,edge1,edge,completed,False,1720.813999,0.098407,1,652.234261,1,394.951168,307.746353,11,1
cumulative,rdfs,1,11,adaptation,True,http://10.151.73.143:8391,edge2,edge,completed,False,1732.955777,0.105537,1,640.959484,1,393.86455600000005,384.192741,11,1
cumulative,rdfs,1,11,adaptation,True,http://10.151.73.173:8391,edge3,edge,completed,False,1753.446952,0.091278,1,1765.4095049999999,1,401.65667099999996,741.6710770000001,13,1
cumulative,rdfs,1,12,delegation,True,http://127.0.0.1:8391,cloud,cloud,completed,False,343.164655,0.035708,1,283.90765,1,416.4794299999999,358.278514,43,1
cumulative,rdfs,1,12,delegation,True,http://10.151.73.241:8391,fog,fog,completed,False,1728.053332,0.094278,1,760.210832,1,409.14999799999987,607.1902379999999,14,1
