reasoner,repetition,stage,added_category,calibration_reused,status,censored,query_count,node_count,prepare_wall_ms,calibration_wall_ms_excluded,node_reasoning_ms_sum,max_node_reasoning_ms,query_wall_ms,prepare_transport_retry_count,query_transport_retry_count,node_query_ms_sum,max_predicted_node_ms,balance_efficiency,total_wall_ms,input_triples_per_replica,output_triples_per_replica
rdfs,2,13,federation,True,completed,False,102,5,2603.604784,0.0,7227.589946,1727.589444,1167.751043,0,0,2450.8626679999998,439.6104279999999,0.41975773563920504,3771.3558270000003,7966,12396
rdfs,2,14,audit_temporal,True,completed,False,107,5,2603.604784,0.0,7227.589946,1727.589444,1067.456779,0,0,2366.718995,516.565258,0.44343134852113764,3671.061563,7966,12396
rdfs,2,15,validation,True,completed,False,111,5,2603.604784,0.0,7227.589946,1727.589444,1301.1240119999998,0,0,2848.68094,554.3616089999998,0.43788000432352336,3904.728796,7966,12396
rdfs,2,16,wellbeing,True,completed,False,115,5,2603.604784,0.0,7227.589946,1727.589444,1366.582606,0,0,3051.903484,563.405651,0.4466474943557126,3970.18739,7966,12396
rdfs,3,1,topology,True,completed,False,4,5,2091.649648,0.0,7240.785057,1728.821591,73.484966,0,0,72.206225,20.114588,0.19651972078207128,2165.134614,7966,12396
rdfs,3,2,semantic_schema,True,completed,False,8,5,2091.649648,0.0,7240.785057,1728.821591,45.827888,0,0,98.042458,29.235436,0.42787246927024,2137.477536,7966,12396
rdfs,3,3,observability,True,completed,False,13,5,2091.649648,0.0,7240.785057,1728.821591,110.45101700000001,0,0,199.145664,50.383371,0.36060449131038785,2202.100665,7966,12396
rdfs,3,4,identity_consent,True,completed,False,31,5,2091.649648,0.0,7240.785057,1728.821591,342.38315500000004,0,0,604.072896,109.96480099999998,0.35286367753693954,2434.032803,7966,12396
rdfs,3,5,data_lifecycle,True,completed,False,39,5,2091.649648,0.0,7240.785057,1728.821591,401.48907,0,0,698.088281,135.899741,0.3477495818254778,2493.138718,7966,12396
rdfs,3,6,security_identity,True,completed,False,45,5,2091.649648,0.0,7240.785057,1728.821591,353.483066,0,0,858.05902,266.932114,0.48548804881080215,2445.1327140000003,7966,12396
rdfs,3,7,context_zones,True,completed,False,51,5,2091.649648,0.0,7240.785057,1728.821591,430.01908099999997,0,0,999.494683,277.55459199999996,0.4648606199872326,2521.668729,7966,12396
rdfs,3,8,trust,True,completed,False,57,5,2091.649648,0.0,7240.785057,1728.821591,485.5991670000001,0,0,1080.391909,297.832526,0.4449727192386224,2577.248815,7966,12396
rdfs,3,9,decision,True,completed,False,74,5,2091.649648,0.0,7240.785057,1728.821591,610.5603720000001,0,0,1469.880193,342.69982099999993,0.48148561891927033,2702.2100200000004,7966,12396
rdfs,3,10,policy_governance,True,completed,False,82,5,2091.649648,0.0,7240.785057,1728.821591,986.258791,0,0,2014.645788,393.86455600000005,0.40854303279918747,3077.908439,7966,12396
rdfs,3,11,adaptation,True,completed,False,90,5,2091.649648,0.0,7240.785057,1728.821591,1132.0563169999998,0,0,2163.8483260000003,406.853641,0.3822863392051547,3223.705965,7966,12396
rdfs,3,12,delegation,True,completed,False,95,5,2091.649648,0.0,7240.785057,1728.821591,1079.276617,0,0,2197.623815,419.03855799999997,0.4072401422183318,3170.926265,7966,12396
rdfs,3,13,federation,True,completed,False,102,5,2091.649648,0.0,7240.785057,1728.821591,1130.5454169999998,0,0,2545.959252,439.6104279999999,0.4503948649415472,3222.195065,7966,12396
rdfs,3,14,audit_temporal,True,completed,False,107,5,2091.649648,0.0,7240.785057,1728.821591,1127.062724,0,0,2388.892962,516.565258,0.4239148205561628,3218.712372,7966,12396
rdfs,3,15,validation,True,completed,False,111,5,2091.649648,0.0,7240.785057,1728.821591,1581.029375,0,0,3183.308849,554.3616089999998,0.40268813462115466,3672.679023,7966,12396
rdfs,3,16,wellbeing,True,completed,False,115,5,2091.649648,0.0,7240.785057,1728.821591,1348.4650360000003,0,0,2912.032923,563.405651,0.4319033634921773,3440.114684,7966,12396
owlrl,1,1,topology,True,completed,False,4,5,7707.295853,897.360321,30756.312097,7381.969514,33.296301,0,0,31.735374999999998,21.020616,0.190624027575916,7740.592154,7966,15607
owlrl,1,2,semantic_schema,True,completed,False,8,5,7707.295853,897.360321,30756.312097,7381.969514,43.020902,0,0,102.860642,30.625104,0.47818914628986625,7750.316755,7966,15607
owlrl,1,3,observability,True,completed,False,13,5,7707.295853,897.360321,30756.312097,7381.969514,82.693661,0,0,166.582898,56.188556000000005,0.4028915783520577,7789.989514,7966,15607
owlrl,1,4,identity_consent,True,completed,False,31,5,7707.295853,897.360321,30756.312097,7381.969514,363.82129599999996,0,0,574.81572,114.463167,0.31598794590627816,8071.117149,7966,15607
owlrl,1,5,data_lifecycle,True,completed,False,39,5,7707.295853,897.360321,30756.312097,7381.969514,360.589416,0,0,682.690402,139.659795,0.37865249045468374,8067.885268999999,7966,15607
owlrl,1,6,security_identity,True,completed,False,45,5,7707.295853,897.360321,30756.312097,7381.969514,512.0664810000001,0,0,1025.728683,219.84900699999997,0.4006232475896035,8219.362334,7966,15607
owlrl,1,7,context_zones,True,completed,False,51,5,7707.295853,897.360321,30756.312097,7381.969514,388.484601,0,0,884.017693,227.514685,0.4551108027059224,8095.780454,7966,15607
owlrl,1,8,trust,True,completed,False,57,5,7707.295853,897.360321,30756.312097,7381.969514,498.309914,0,0,1067.24946,248.52461300000004,0.42834767280989716,8205.605767,7966,15607
owlrl,1,9,decision,True,completed,False,74,5,7707.295853,897.360321,30756.312097,7381.969514,606.730836,0,0,1306.43634,289.42301,0.4306477477271322,8314.026689,7966,15607
owlrl,1,10,policy_governance,True,completed,False,82,5,7707.295853,897.360321,30756.312097,7381.969514,831.473879,0,0,1875.065658,352.14383200000003,0.45102214401614416,8538.769731999999,7966,15607
owlrl,1,11,adaptation,True,completed,False,90,5,7707.295853,897.360321,30756.312097,7381.969514,914.8324670000002,0,0,1990.438011,364.5069999999997,0.43514809165599927,8622.12832,7966,15607
owlrl,1,12,delegation,True,completed,False,95,5,7707.295853,897.360321,30756.312097,7381.969514,1068.909146,0,0,2115.751102,373.9165340000001,0.3958710821995343,8776.204999,7966,15607
owlrl,1,13,federation,True,completed,False,102,5,7707.295853,897.360321,30756.312097,7381.969514,1092.630799,0,0,2219.834403,394.5805219999997,0.40632835996049926,8799.926652,7966,15607
owlrl,1,14,audit_temporal,True,completed,False,107,5,7707.295853,897.360321,30756.312097,7381.969514,1052.661991,0,0,2443.209083,486.6083490000001,0.4641963144653905,8759.957844,7966,15607
owlrl,1,15,validation,True,completed,False,111,5,7707.295853,897.360321,30756.312097,7381.969514,1402.4382840000003,0,0,2784.925165,519.9958330000001,0.39715475493964764,9109.734137,7966,15607
owlrl,1,16,wellbeing,True,completed,False,115,5,7707.295853,897.360321,30756.312097,7381.969514,1320.460184,0,0,2743.65062,528.792965,0.41555976518561955,9027.756037,7966,15607
owlrl,2,1,topology,True,completed,False,4,5,7715.007369,0.0,30739.436942,7396.054977,67.829509,0,0,66.016179,21.020616,0.19465327104166413,7782.836878,7966,15607
owlrl,2,2,semantic_schema,True,completed,False,8,5,7715.007369,0.0,30739.436942,7396.054977,43.704172,0,0,104.432341,30.625104,0.4779055921709259,7758.711541,7966,15607
owlrl,2,3,observability,True,completed,False,13,5,7715.007369,0.0,30739.436942,7396.054977,82.37527700000001,0,0,166.71629,56.188556000000005,0.4047726358480105,7797.382646,7966,15607
owlrl,2,4,identity_consent,True,completed,False,31,5,7715.007369,0.0,30739.436942,7396.054977,236.522062,0,0,469.66166,114.463167,0.39713983213963355,7951.529431,7966,15607
owlrl,2,5,data_lifecycle,True,completed,False,39,5,7715.007369,0.0,30739.436942,7396.054977,278.257111,0,0,553.72207,139.659795,0.3979931136422961,7993.26448,7966,15607
owlrl,2,6,security_identity,True,completed,False,45,5,7715.007369,0.0,30739.436942,7396.054977,500.52631700000006,0,0,1133.484118,219.84900699999997,0.45291689148085296,8215.533686,7966,15607
owlrl,2,7,context_zones,True,completed,False,51,5,7715.007369,0.0,30739.436942,7396.054977,400.282938,0,0,899.845931,227.514685,0.44960493969393217,8115.290307,7966,15607
owlrl,2,8,trust,True,completed,False,57,5,7715.007369,0.0,30739.436942,7396.054977,613.581723,0,0,1158.69062,248.52461300000004,0.3776809434071099,8328.589092,7966,15607
owlrl,2,9,decision,True,completed,False,74,5,7715.007369,0.0,30739.436942,7396.054977,652.659216,0,0,1356.8202569999999,289.42301,0.4157821490105182,8367.666584999999,7966,15607
owlrl,2,10,policy_governance,True,completed,False,82,5,7715.007369,0.0,30739.436942,7396.054977,828.852904,0,0,1810.813151,352.14383200000003,0.436944394418144,8543.860273,7966,15607
owlrl,2,11,adaptation,True,completed,False,90,5,7715.007369,0.0,30739.436942,7396.054977,877.078567,0,0,1970.3083940000001,364.5069999999997,0.44928891621176736,8592.085936,7966,15607
owlrl,2,12,delegation,True,completed,False,95,5,7715.007369,0.0,30739.436942,7396.054977,939.2792919999999,0,0,2031.5211940000002,373.9165340000001,0.432570208095251,8654.286661,7966,15607
owlrl,2,13,federation,True,completed,False,102,5,7715.007369,0.0,30739.436942,7396.054977,1021.022364,0,0,2140.753614,394.5805219999997,0.4193353034135891,8736.029733,7966,15607
owlrl,2,14,audit_temporal,True,completed,False,107,5,7715.007369,0.0,30739.436942,7396.054977,1070.093081,0,0,2479.4102709999997,486.6083490000001,0.4634008601724619,8785.10045,7966,15607
owlrl,2,15,validation,True,completed,False,111,5,7715.007369,0.0,30739.436942,7396.054977,1263.904395,0,0,2733.773028,519.9958330000001,0.4325917433019133,8978.911764,7966,15607
owlrl,2,16,wellbeing,True,completed,False,115,5,7715.007369,0.0,30739.436942,7396.054977,1303.2753640000003,0,0,2689.805929,528.792965,0.4127763024299751,9018.282733,7966,15607
owlrl,3,1,topology,True,completed,False,4,5,7698.44124,0.0,30759.738604,7371.760127,19.679349,0,0,18.286655,21.020616,0.1858461374916416,7718.120589,7966,15607
owlrl,3,2,semantic_schema,True,completed,False,8,5,7698.44124,0.0,30759.738604,7371.760127,41.440583,0,0,104.336251,30.625104,0.5035462507851302,7739.881823,7966,15607
owlrl,3,3,observability,True,completed,False,13,5,7698.44124,0.0,30759.738604,7371.760127,84.700467,0,0,170.294728,56.188556000000005,0.4021104818701885,7783.141707,7966,15607
owlrl,3,4,identity_consent,True,completed,False,31,5,7698.44124,0.0,30759.738604,7371.760127,350.730076,0,0,668.94452,114.463167,0.38145831553949766,8049.171316,7966,15607
owlrl,3,5,data_lifecycle,True,completed,False,39,5,7698.44124,0.0,30759.738604,7371.760127,303.004417,0,0,585.134918,139.659795,0.38622203847279224,8001.445657,7966,15607
owlrl,3,6,security_identity,True,completed,False,45,5,7698.44124,0.0,30759.738604,7371.760127,438.28138000000007,0,0,852.293534,219.84900699999997,0.3889252762688663,8136.7226200000005,7966,15607
owlrl,3,7,context_zones,True,completed,False,51,5,7698.44124,0.0,30759.738604,7371.760127,428.59587500000004,0,0,945.246945,227.514685,0.4410900804866588,8127.037115,7966,15607
owlrl,3,8,trust,True,completed,False,57,5,7698.44124,0.0,30759.738604,7371.760127,465.326879,0,0,1005.81924,248.52461300000004,0.43230652919149337,8163.768119,7966,15607
owlrl,3,9,decision,True,completed,False,74,5,7698.44124,0.0,30759.738604,7371.760127,690.1768889999998,0,0,1372.3894779999998,289.42301,0.3976920989019092,8388.618129,7966,15607
owlrl,3,10,policy_governance,True,completed,False,82,5,7698.44124,0.0,30759.738604,7371.760127,898.8819289999998,0,0,1806.879257,352.14383200000003,0.40202816381238,8597.323169,7966,15607
owlrl,3,11,adaptation,True,completed,False,90,5,7698.44124,0.0,30759.738604,7371.760127,1011.4825820000001,0,0,1913.922309,364.5069999999997,0.3784390048943027,8709.923822,7966,15607
owlrl,3,12,delegation,True,completed,False,95,5,7698.44124,0.0,30759.738604,7371.760127,1002.9969980000001,0,0,2254.415827,373.9165340000001,0.44953590718523756,8701.438238,7966,15607
owlrl,3,13,federation,True,completed,False,102,5,7698.44124,0.0,30759.738604,7371.760127,1089.609948,0,0,2219.6371289999997,394.5805219999997,0.40741866079218275,8788.051188,7966,15607
owlrl,3,14,audit_temporal,True,completed,False,107,5,7698.44124,0.0,30759.738604,7371.760127,1193.757656,0,0,2530.980898,486.6083490000001,0.4240359649680856,8892.198896,7966,15607
owlrl,3,15,validation,True,completed,False,111,5,7698.44124,0.0,30759.738604,7371.760127,1189.031239,0,0,2628.255274,519.9958330000001,0.44208346892726175,8887.472479,7966,15607
owlrl,3,16,wellbeing,True,completed,False,115,5,7698.44124,0.0,30759.738604,7371.760127,1310.3080820000002,0,0,2764.879227,528.792965,0.42201971658143206,9008.749322,7966,15607
rdfs_owlrl,1,1,topology,True,completed,False,4,5,14559.971648,1162.955833,59466.436325,14308.888933,23.77556,0,0,25.02937,21.949305,0.21054704915467817,14583.747208,7966,22830
rdfs_owlrl,1,2,semantic_schema,True,completed,False,8,5,14559.971648,1162.955833,59466.436325,14308.888933,56.651933,0,0,126.45160899999999,26.25336,0.44641586722204163,14616.623581,7966,22830
rdfs_owlrl,1,3,observability,True,completed,False,13,5,14559.971648,1162.955833,59466.436325,14308.888933,95.544866,0,0,200.055313,50.889981,0.4187672689812554,14655.516514,7966,22830
rdfs_owlrl,1,4,identity_consent,True,completed,False,31,5,14559.971648,1162.955833,59466.436325,14308.888933,184.05068599999998,0,0,461.545388,111.40043799999995,0.5015416112059479,14744.022334000001,7966,22830
rdfs_owlrl,1,5,data_lifecycle,True,completed,False,39,5,14559.971648,1162.955833,59466.436325,14308.888933,369.346525,0,0,671.972453,139.47452999999996,0.36387100325365185,14929.318173000001,7966,22830
rdfs_owlrl,1,6,security_identity,True,completed,False,45,5,14559.971648,1162.955833,59466.436325,14308.888933,321.343409,0,0,756.234869,282.72783000000004,0.4706708448468597,14881.315057,7966,22830
rdfs_owlrl,1,7,context_zones,True,completed,False,51,5,14559.971648,1162.955833,59466.436325,14308.888933,379.98551100000003,0,0,808.245511,292.008072,0.4254085945924395,14939.957159000001,7966,22830
rdfs_owlrl,1,8,trust,True,completed,False,57,5,14559.971648,1162.955833,59466.436325,14308.888933,410.117858,0,0,916.576742,309.13981200000006,0.4469821170284177,14970.089506,7966,22830
rdfs_owlrl,1,9,decision,True,completed,False,74,5,14559.971648,1162.955833,59466.436325,14308.888933,579.305119,0,0,1312.750068,357.6742469999999,0.45321542135380305,15139.276767000001,7966,22830
rdfs_owlrl,1,10,policy_governance,True,completed,False,82,5,14559.971648,1162.955833,59466.436325,14308.888933,1889.461556,0,0,1957.86994,411.99319300000013,0.20724104534254945,16449.433204,7966,22830
rdfs_owlrl,1,11,adaptation,True,completed,False,90,5,14559.971648,1162.955833,59466.436325,14308.888933,1993.282519,0,0,2044.13231,427.33356300000025,0.20510211578291576,16553.254167,7966,22830
rdfs_owlrl,1,12,delegation,True,completed,False,95,5,14559.971648,1162.955833,59466.436325,14308.888933,1088.692132,0,0,2252.673371,431.93746000000004,0.4138311107037559,15648.66378,7966,22830
rdfs_owlrl,1,13,federation,True,completed,False,102,5,14559.971648,1162.955833,59466.436325,14308.888933,1246.8563170000002,0,0,2389.209535,457.469256,0.3832373469861483,15806.827965,7966,22830
rdfs_owlrl,1,14,audit_temporal,True,completed,False,107,5,14559.971648,1162.955833,59466.436325,14308.888933,1353.5623679999999,0,0,2625.494185,539.7325010000001,0.38793841304547855,15913.534016000001,7966,22830
rdfs_owlrl,1,15,validation,True,completed,False,111,5,14559.971648,1162.955833,59466.436325,14308.888933,1410.4428330000003,0,0,2893.808801,567.6014709999998,0.4103404595058834,15970.414481000002,7966,22830
rdfs_owlrl,1,16,wellbeing,True,completed,False,115,5,14559.971648,1162.955833,59466.436325,14308.888933,1513.4119560000004,0,0,2942.972301,575.2222290000003,0.3889188649967292,16073.383604,7966,22830
rdfs_owlrl,2,1,topology,True,completed,False,4,5,14498.319997,0.0,59070.393785,14175.10277,21.499371,0,0,23.79617,21.949305,0.2213661971785128,14519.819368,7966,22830
rdfs_owlrl,2,2,semantic_schema,True,completed,False,8,5,14498.319997,0.0,59070.393785,14175.10277,36.29332,0,0,102.23661299999999,26.25336,0.5633908002905217,14534.613317000001,7966,22830
rdfs_owlrl,2,3,observability,True,completed,False,13,5,14498.319997,0.0,59070.393785,14175.10277,206.815007,0,0,463.786953,50.889981,0.4485041581145994,14705.135004,7966,22830
rdfs_owlrl,2,4,identity_consent,True,completed,False,31,5,14498.319997,0.0,59070.393785,14175.10277,290.658736,0,0,562.031003,111.40043799999995,0.3867291317196123,14788.978733,7966,22830
rdfs_owlrl,2,5,data_lifecycle,True,completed,False,39,5,14498.319997,0.0,59070.393785,14175.10277,488.82848999999993,0,0,864.063024,139.47452999999996,0.3535240034802391,14987.148487,7966,22830
rdfs_owlrl,2,6,security_identity,True,completed,False,45,5,14498.319997,0.0,59070.393785,14175.10277,294.044627,0,0,704.534092,282.72783000000004,0.47920215321601506,14792.364624,7966,22830
rdfs_owlrl,2,7,context_zones,True,completed,False,51,5,14498.319997,0.0,59070.393785,14175.10277,371.927952,0,0,858.430437,292.008072,0.46161114397769165,14870.247949,7966,22830
rdfs_owlrl,2,8,trust,True,completed,False,57,5,14498.319997,0.0,59070.393785,14175.10277,418.35236900000007,0,0,911.6618139999999,309.13981200000006,0.43583442167624,14916.672366,7966,22830
rdfs_owlrl,2,9,decision,True,completed,False,74,5,14498.319997,0.0,59070.393785,14175.10277,562.8053880000001,0,0,1328.48958,357.6742469999999,0.472095544330503,15061.125385000001,7966,22830
rdfs_owlrl,2,10,policy_governance,True,completed,False,82,5,14498.319997,0.0,59070.393785,14175.10277,1053.4082889999997,0,0,1979.115894,411.99319300000013,0.3757547599855654,15551.728286,7966,22830
rdfs_owlrl,2,11,adaptation,True,completed,False,90,5,14498.319997,0.0,59070.393785,14175.10277,1066.052194,0,0,2031.46958,427.33356300000025,0.3811200973899032,15564.372191,7966,22830
rdfs_owlrl,2,12,delegation,True,completed,False,95,5,14498.319997,0.0,59070.393785,14175.10277,1128.359174,0,0,2268.534986,431.93746000000004,0.40209448166369055,15626.679171,7966,22830
rdfs_owlrl,2,13,federation,True,completed,False,102,5,14498.319997,0.0,59070.393785,14175.10277,1244.1463370000001,0,0,2358.983961,457.469256,0.37921326307774994,15742.466334,7966,22830
rdfs_owlrl,2,14,audit_temporal,True,completed,False,107,5,14498.319997,0.0,59070.393785,14175.10277,1225.745554,0,0,2513.743512,539.7325010000001,0.4101574757986028,15724.065551,7966,22830
rdfs_owlrl,2,15,validation,True,completed,False,111,5,14498.319997,0.0,59070.393785,14175.10277,1412.4980050000001,0,0,2816.1627479999997,567.6014709999998,0.3987492708706515,15910.818002,7966,22830
rdfs_owlrl,2,16,wellbeing,True,completed,False,115,5,14498.319997,0.0,59070.393785,14175.10277,2506.073505,0,0,2806.541461,575.2222290000003,0.22397918140872727,17004.393502,7966,22830
rdfs_owlrl,3,1,topology,True,completed,False,4,5,14552.517078,0.0,59063.163898,14215.011565,25.271692,0,0,23.36904,21.949305,0.1849424249076793,14577.788770000001,7966,22830
rdfs_owlrl,3,2,semantic_schema,True,completed,False,8,5,14552.517078,0.0,59063.163898,14215.011565,154.376227,0,0,229.814241,26.25336,0.29773268263642694,14706.893305000001,7966,22830
rdfs_owlrl,3,3,observability,True,completed,False,13,5,14552.517078,0.0,59063.163898,14215.011565,216.2763,0,0,343.807028,50.889981,0.3179331512514316,14768.793378,7966,22830
rdfs_owlrl,3,4,identity_consent,True,completed,False,31,5,14552.517078,0.0,59063.163898,14215.011565,210.02347300000002,0,0,487.210102,111.40043799999995,0.46395776152125623,14762.540551,7966,22830
rdfs_owlrl,3,5,data_lifecycle,True,completed,False,39,5,14552.517078,0.0,59063.163898,14215.011565,350.06500500000004,0,0,612.866109,139.47452999999996,0.3501441733657439,14902.582083000001,7966,22830
rdfs_owlrl,3,6,security_identity,True,completed,False,45,5,14552.517078,0.0,59063.163898,14215.011565,341.482388,0,0,773.438296,282.72783000000004,0.45298868883393195,14893.999466000001,7966,22830
rdfs_owlrl,3,7,context_zones,True,completed,False,51,5,14552.517078,0.0,59063.163898,14215.011565,438.19021699999996,0,0,802.5049210000001,292.008072,0.3662815324788505,14990.707295,7966,22830
rdfs_owlrl,3,8,trust,True,completed,False,57,5,14552.517078,0.0,59063.163898,14215.011565,649.190029,0,0,950.832253,309.13981200000006,0.2929287914247987,15201.707107,7966,22830
rdfs_owlrl,3,9,decision,True,completed,False,74,5,14552.517078,0.0,59063.163898,14215.011565,1154.1182210000002,0,0,1313.83457,357.6742469999999,0.22767764100658794,15706.635299000001,7966,22830
rdfs_owlrl,3,10,policy_governance,True,completed,False,82,5,14552.517078,0.0,59063.163898,14215.011565,1285.4432529999997,0,0,1953.55005,411.99319300000013,0.3039496368961844,15837.960331,7966,22830
rdfs_owlrl,3,11,adaptation,True,completed,False,90,5,14552.517078,0.0,59063.163898,14215.011565,1103.1399230000002,0,0,2087.074401,427.33356300000025,0.3783879737257953,15655.657001000001,7966,22830
rdfs_owlrl,3,12,delegation,True,completed,False,95,5,14552.517078,0.0,59063.163898,14215.011565,1053.2083400000001,0,0,2235.841368,431.93746000000004,0.42457722429353334,15605.725418000002,7966,22830
rdfs_owlrl,3,13,federation,True,completed,False,102,5,14552.517078,0.0,59063.163898,14215.011565,1181.129042,0,0,2297.228204,457.469256,0.38898852239042647,15733.646120000001,7966,22830
rdfs_owlrl,3,14,audit_temporal,True,completed,False,107,5,14552.517078,0.0,59063.163898,14215.011565,1149.0862820000002,0,0,2466.176673,539.7325010000001,0.42924133925044966,15701.603360000001,7966,22830
rdfs_owlrl,3,15,validation,True,completed,False,111,5,14552.517078,0.0,59063.163898,14215.011565,1476.154205,0,0,2833.082222,567.6014709999998,0.3838463776215033,16028.671283000001,7966,22830
rdfs_owlrl,3,16,wellbeing,True,completed,False,115,5,14552.517078,0.0,59063.163898,14215.011565,1449.585915,0,0,2823.173174,575.2222290000003,0.38951443233359506,16002.102993,7966,22830
