layout,median,metric,n,p95,reasoner,stage,suite,synthetic_users,total
sharded,40609.61214500001,total_wall_ms,3,40686.6071009,owlrl,,scalability,500,121275.73302700001
sharded,84497.796104,total_wall_ms,3,84803.8905356,owlrl,,scalability,1000,252265.25797099998
replicated,10042.06222,total_wall_ms,3,10454.9984614,owlrl,,scalability,10,30552.888364
replicated,17699.760044000002,total_wall_ms,3,18165.8136356,owlrl,,scalability,100,53573.56552800001
replicated,65054.44167100001,total_wall_ms,3,65557.26020949999,owlrl,,scalability,500,195290.886666
sharded,7171.30007,max_node_reasoning_ms,3,7191.5643035,owlrl,,scalability,10,21486.089006000002
sharded,9184.617902,max_node_reasoning_ms,3,9277.1700347,owlrl,,scalability,100,27596.587612000003
sharded,18151.818433,max_node_reasoning_ms,3,18159.9250498,owlrl,,scalability,500,54453.881447
sharded,29427.898687,max_node_reasoning_ms,3,29516.3433196,owlrl,,scalability,1000,88375.769356
replicated,8213.842069,max_node_reasoning_ms,3,8239.1207173,owlrl,,scalability,10,24653.064574
replicated,14258.32774,max_node_reasoning_ms,3,14288.13646,owlrl,,scalability,100,42725.875509
replicated,41270.600253,max_node_reasoning_ms,3,41418.046479,owlrl,,scalability,500,123865.19201099999
sharded,3932.9363470000008,query_wall_ms,3,3988.5604672000004,owlrl,,scalability,10,11858.141416000002
sharded,6185.7012,query_wall_ms,3,6325.563554400001,owlrl,,scalability,100,18282.489268
sharded,20462.659406000002,query_wall_ms,3,20496.6480833,owlrl,,scalability,500,60686.1471
sharded,51583.14186399999,query_wall_ms,3,52095.74797630001,owlrl,,scalability,1000,153929.60284900002
replicated,1501.944003,query_wall_ms,3,1818.2116521,owlrl,,scalability,10,4801.891011
replicated,2820.180843,query_wall_ms,3,3138.2650017000005,owlrl,,scalability,100,8769.107858000001
replicated,21777.689394000005,query_wall_ms,3,22038.653908800003,owlrl,,scalability,500,64958.57467100001
sharded,19196.294433000003,total_wall_ms,3,20064.3114102,rdfs_owlrl,,scalability,10,58482.831112
