category,layout,query_ms,reasoner,repetition
trust,sharded,442.644081,rdfs_owlrl,2
decision,sharded,1347.3193389999994,rdfs_owlrl,2
federation,sharded,528.4339889999999,rdfs_owlrl,2
data_lifecycle,sharded,531.6077300000002,rdfs_owlrl,2
wellbeing,sharded,207.081483,rdfs_owlrl,2
delegation,sharded,310.222846,rdfs_owlrl,2
adaptation,sharded,517.6973260000001,rdfs_owlrl,2
context_zones,sharded,408.72628799999995,rdfs_owlrl,2
audit_temporal,sharded,948.5972310000001,rdfs_owlrl,2
identity_consent,sharded,1262.3860850000003,rdfs_owlrl,3
policy_governance,sharded,200.73460099999997,rdfs_owlrl,3
validation,sharded,71.45915600000001,rdfs_owlrl,3
semantic_schema,sharded,51.441914999999995,rdfs_owlrl,3
security_identity,sharded,1211.461723,rdfs_owlrl,3
observability,sharded,186.87096,rdfs_owlrl,3
topology,sharded,250.391639,rdfs_owlrl,3
trust,sharded,308.795303,rdfs_owlrl,3
decision,sharded,1340.5223689999996,rdfs_owlrl,3
federation,sharded,521.464801,rdfs_owlrl,3
data_lifecycle,sharded,676.27201,rdfs_owlrl,3
wellbeing,sharded,201.890481,rdfs_owlrl,3
delegation,sharded,316.2597,rdfs_owlrl,3
adaptation,sharded,512.848793,rdfs_owlrl,3
context_zones,sharded,401.064762,rdfs_owlrl,3
audit_temporal,sharded,946.9260279999999,rdfs_owlrl,3
security_identity,replicated,81.58331600000001,rdfs,1
semantic_schema,replicated,54.291172,rdfs,1
data_lifecycle,replicated,137.472652,rdfs,1
decision,replicated,355.117465,rdfs,1
identity_consent,replicated,330.488228,rdfs,1
wellbeing,replicated,47.955963,rdfs,1
federation,replicated,109.14951099999999,rdfs,1
context_zones,replicated,129.013575,rdfs,1
validation,replicated,366.571587,rdfs,1
topology,replicated,37.926888000000005,rdfs,1
delegation,replicated,103.72699700000001,rdfs,1
policy_governance,replicated,446.946553,rdfs,1
adaptation,replicated,205.99447300000003,rdfs,1
trust,replicated,111.355106,rdfs,1
observability,replicated,94.09223,rdfs,1
audit_temporal,replicated,699.856047,rdfs,1
security_identity,replicated,79.626805,rdfs,2
semantic_schema,replicated,54.516608000000005,rdfs,2
data_lifecycle,replicated,147.300253,rdfs,2
decision,replicated,314.97842099999997,rdfs,2
identity_consent,replicated,328.58781,rdfs,2
wellbeing,replicated,46.60595000000001,rdfs,2
federation,replicated,108.022284,rdfs,2
context_zones,replicated,127.47049800000002,rdfs,2
validation,replicated,366.250711,rdfs,2
topology,replicated,90.03447399999999,rdfs,2
delegation,replicated,71.482227,rdfs,2
policy_governance,replicated,449.166023,rdfs,2
adaptation,replicated,109.61215,rdfs,2
trust,replicated,117.53433,rdfs,2
observability,replicated,84.626309,rdfs,2
audit_temporal,replicated,600.997333,rdfs,2
security_identity,replicated,99.46252900000002,rdfs,3
semantic_schema,replicated,103.024591,rdfs,3
data_lifecycle,replicated,232.752506,rdfs,3
decision,replicated,315.020209,rdfs,3
identity_consent,replicated,377.10659699999997,rdfs,3
wellbeing,replicated,45.820865,rdfs,3
federation,replicated,218.033716,rdfs,3
context_zones,replicated,163.15980000000002,rdfs,3
validation,replicated,381.322764,rdfs,3
topology,replicated,36.493299,rdfs,3
delegation,replicated,61.020830000000004,rdfs,3
policy_governance,replicated,444.166134,rdfs,3
adaptation,replicated,109.047826,rdfs,3
trust,replicated,109.87069199999999,rdfs,3
observability,replicated,83.109358,rdfs,3
audit_temporal,replicated,474.966332,rdfs,3
security_identity,replicated,127.287232,owlrl,1
decision,replicated,620.6870819999999,owlrl,1
identity_consent,replicated,348.97467499999993,owlrl,1
federation,replicated,101.84223,owlrl,1
wellbeing,replicated,56.862888,owlrl,1
trust,replicated,254.47240800000003,owlrl,1
audit_temporal,replicated,439.017653,owlrl,1
context_zones,replicated,74.930084,owlrl,1
validation,replicated,177.31007800000003,owlrl,1
data_lifecycle,replicated,115.95815300000001,owlrl,1
policy_governance,replicated,463.83684300000004,owlrl,1
delegation,replicated,100.71557,owlrl,1
adaptation,replicated,156.00590900000003,owlrl,1
semantic_schema,replicated,70.94737,owlrl,1
topology,replicated,43.707647,owlrl,1
observability,replicated,105.701215,owlrl,1
security_identity,replicated,104.295794,owlrl,2
decision,replicated,517.407683,owlrl,2
identity_consent,replicated,338.662549,owlrl,2
federation,replicated,101.050126,owlrl,2
wellbeing,replicated,57.200719,owlrl,2
trust,replicated,101.616475,owlrl,2
audit_temporal,replicated,436.46048299999995,owlrl,2
context_zones,replicated,72.623208,owlrl,2
validation,replicated,172.821991,owlrl,2
data_lifecycle,replicated,122.159764,owlrl,2
policy_governance,replicated,554.3311550000001,owlrl,2
delegation,replicated,100.175145,owlrl,2
adaptation,replicated,156.44451800000002,owlrl,2
semantic_schema,replicated,70.451133,owlrl,2
topology,replicated,41.17958900000001,owlrl,2
observability,replicated,107.70055300000001,owlrl,2
security_identity,replicated,142.158229,owlrl,3
decision,replicated,375.591106,owlrl,3
identity_consent,replicated,324.14327099999997,owlrl,3
federation,replicated,179.72279600000002,owlrl,3
wellbeing,replicated,62.794353,owlrl,3
trust,replicated,104.46037799999999,owlrl,3
