category,layer,layout,median,n,p95,reasoner,role,total
decision,Cloud,replicated,8.550592,27,21.531800699999998,rdfs,cloud,283.614841
delegation,Cloud,replicated,4.142473,9,45.22414359999999,rdfs,cloud,123.497248
federation,Cloud,replicated,6.479694,9,8.492626399999999,rdfs,cloud,60.031834
identity_consent,Cloud,replicated,8.723369,27,17.936669899999995,rdfs,cloud,225.295035
observability,Cloud,replicated,8.706853,6,16.382554250000002,rdfs,cloud,61.999134000000005
policy_governance,Cloud,replicated,14.5665945,12,43.634830799999996,rdfs,cloud,249.966674
security_identity,Cloud,replicated,6.289013,15,48.34545569999998,rdfs,cloud,221.259892
semantic_schema,Cloud,replicated,4.340008,9,46.526333399999984,rdfs,cloud,124.647371
topology,Cloud,replicated,5.7228010000000005,6,45.298488,rdfs,cloud,87.80818099999999
trust,Cloud,replicated,9.511837,9,11.568056799999999,rdfs,cloud,78.362205
validation,Cloud,replicated,8.442413,6,11.8365675,rdfs,cloud,52.130266
wellbeing,Cloud,replicated,5.601053,6,6.97391,rdfs,cloud,33.100186
adaptation,Edge,replicated,27.034074,3,27.863757,rdfs,edge1,81.906444
audit_temporal,Edge,replicated,31.244685,3,31.4673018,rdfs,edge1,93.04364699999999
data_lifecycle,Edge,replicated,21.756111,3,22.0311114,rdfs,edge1,65.495556
decision,Edge,replicated,34.101472,6,53.576217,rdfs,edge1,206.733277
delegation,Edge,replicated,25.013204,3,25.152469999999997,rdfs,edge1,74.872907
federation,Edge,replicated,28.401926,3,28.499976500000002,rdfs,edge1,84.872964
identity_consent,Edge,replicated,21.309333,6,29.91596725,rdfs,edge1,128.69935
policy_governance,Edge,replicated,57.595463,3,58.3427969,rdfs,edge1,173.581056
semantic_schema,Edge,replicated,29.005648,3,29.3141149,rdfs,edge1,87.185
trust,Edge,replicated,32.465666,3,33.2697503,rdfs,edge1,97.909685
validation,Edge,replicated,174.3128145,6,294.198954,rdfs,edge1,1062.014796
wellbeing,Edge,replicated,14.168277,3,14.5172943,rdfs,edge1,42.85987
adaptation,Edge,replicated,17.957444,3,17.9766617,rdfs,edge2,53.860482
audit_temporal,Edge,replicated,104.5264815,6,289.369264,rdfs,edge2,877.814038
context_zones,Edge,replicated,34.844371,3,42.6059872,rdfs,edge2,112.945278
data_lifecycle,Edge,replicated,18.049389,3,18.296806200000002,rdfs,edge2,54.140742
decision,Edge,replicated,26.7889355,6,32.50085225,rdfs,edge2,161.483261
federation,Edge,replicated,25.602278,3,31.3829114,rdfs,edge2,82.918871
identity_consent,Edge,replicated,47.1634905,6,58.97901375,rdfs,edge2,273.209703
observability,Edge,replicated,23.340574,3,23.6417905,rdfs,edge2,70.23949999999999
policy_governance,Edge,replicated,49.834093,3,49.8639595,rdfs,edge2,148.930889
trust,Edge,replicated,25.045833,3,25.6310328,rdfs,edge2,75.755814
wellbeing,Edge,replicated,21.567685,3,21.718585299999997,rdfs,edge2,64.422722
audit_temporal,Edge,replicated,121.905801,6,189.7294735,rdfs,edge3,804.962027
context_zones,Edge,replicated,20.793211,3,20.8205278,rdfs,edge3,62.192837
data_lifecycle,Edge,replicated,31.344632,3,32.1140159,rdfs,edge3,94.560489
decision,Edge,replicated,23.567613,6,28.98343025,rdfs,edge3,142.060438
delegation,Edge,replicated,12.540515,3,12.7889663,rdfs,edge3,37.859899
federation,Edge,replicated,28.524721,3,118.23908259999999,rdfs,edge3,184.879453
identity_consent,Edge,replicated,20.801766999999998,6,30.037607,rdfs,edge3,124.460249
observability,Edge,replicated,6.029044,3,6.176844699999999,rdfs,edge3,18.155504
policy_governance,Edge,replicated,220.589184,3,223.2336873,rdfs,edge3,664.558054
topology,Edge,replicated,14.424111,3,14.4998604,rdfs,edge3,43.356109000000004
trust,Edge,replicated,28.396554,3,29.9002893,rdfs,edge3,86.732424
adaptation,Fog,replicated,18.9231475,6,95.24318525000001,rdfs,fog,207.835295
context_zones,Fog,replicated,61.610351,3,79.6676351,rdfs,fog,204.71877700000002
data_lifecycle,Fog,replicated,48.686482,3,135.9885142,rdfs,fog,242.847463
decision,Fog,replicated,31.886463,6,34.546921,rdfs,fog,191.224278
federation,Fog,replicated,6.560352,3,9.223918199999998,rdfs,fog,22.502389
identity_consent,Fog,replicated,31.889537,9,41.055585199999996,rdfs,fog,284.518298
observability,Fog,replicated,37.161944,3,37.294694,rdfs,fog,111.433759
policy_governance,Fog,replicated,34.472703,3,34.4747208,rdfs,fog,103.24203700000001
security_identity,Fog,replicated,12.949018,3,13.6784014,rdfs,fog,39.412758
topology,Fog,replicated,10.768408,3,11.6585404,rdfs,fog,33.290371
adaptation,Cloud,replicated,4.538703,12,15.037279149999986,rdfs_owlrl,cloud,74.233742
audit_temporal,Cloud,replicated,8.007313,3,8.068137700000001,rdfs_owlrl,cloud,23.003614
context_zones,Cloud,replicated,8.217325,9,11.0338572,rdfs_owlrl,cloud,68.904782
data_lifecycle,Cloud,replicated,6.4171585,12,17.02020109999999,rdfs_owlrl,cloud,101.502756
decision,Cloud,replicated,7.644555,30,32.84317974999995,rdfs_owlrl,cloud,315.700512
delegation,Cloud,replicated,3.6409575,6,39.40743625,rdfs_owlrl,cloud,68.263076
federation,Cloud,replicated,5.608283,9,9.028453999999998,rdfs_owlrl,cloud,57.501194999999996
identity_consent,Cloud,replicated,8.846217,27,20.667238299999998,rdfs_owlrl,cloud,260.136634
observability,Cloud,replicated,3.3341925000000003,6,5.0739855,rdfs_owlrl,cloud,20.122793
policy_governance,Cloud,replicated,27.2514955,12,65.65695774999999,rdfs_owlrl,cloud,399.483955
security_identity,Cloud,replicated,8.4414085,12,70.64472834999997,rdfs_owlrl,cloud,269.452454
semantic_schema,Cloud,replicated,4.200979,3,4.274371299999999,rdfs_owlrl,cloud,12.586217000000001
topology,Cloud,replicated,6.83783,3,6.9607241,rdfs_owlrl,cloud,19.884327
trust,Cloud,replicated,5.346673,3,5.3585709999999995,rdfs_owlrl,cloud,16.029437
validation,Cloud,replicated,9.290483,9,51.23187759999998,rdfs_owlrl,cloud,153.126627
wellbeing,Cloud,replicated,6.752805,3,6.7623585,rdfs_owlrl,cloud,20.197225
adaptation,Edge,replicated,8.051982,3,8.2143141,rdfs_owlrl,edge1,24.321851000000002
audit_temporal,Edge,replicated,146.3862125,6,220.90104150000002,rdfs_owlrl,edge1,931.927943
context_zones,Edge,replicated,10.686982,3,10.8449986,rdfs_owlrl,edge1,31.831834
data_lifecycle,Edge,replicated,19.01226,3,19.3109934,rdfs_owlrl,edge1,56.836612
decision,Edge,replicated,36.577852,6,41.6566895,rdfs_owlrl,edge1,219.0325
delegation,Edge,replicated,21.813018,3,22.618501799999997,rdfs_owlrl,edge1,65.624907
federation,Edge,replicated,6.703333,3,6.8256664,rdfs_owlrl,edge1,20.238703
identity_consent,Edge,replicated,15.8411855,6,17.9597825,rdfs_owlrl,edge1,94.441389
policy_governance,Edge,replicated,55.518564999999995,6,57.72757425,rdfs_owlrl,edge1,332.328575
semantic_schema,Edge,replicated,66.214407,3,187.297158,rdfs_owlrl,edge1,330.777649
trust,Edge,replicated,46.810092,3,46.8313752,rdfs_owlrl,edge1,140.364073
adaptation,Edge,replicated,22.792741,3,22.8474574,rdfs_owlrl,edge2,68.404871
context_zones,Edge,replicated,17.567926,3,17.6048089,rdfs_owlrl,edge2,52.32637
data_lifecycle,Edge,replicated,17.178259,3,17.664709,rdfs_owlrl,edge2,52.039165999999994
decision,Edge,replicated,27.475472500000002,6,33.33133825,rdfs_owlrl,edge2,163.60218700000001
delegation,Edge,replicated,24.711074,3,24.843324499999998,rdfs_owlrl,edge2,73.644593
identity_consent,Edge,replicated,29.751056,9,33.1294554,rdfs_owlrl,edge2,267.178703
observability,Edge,replicated,37.588351,3,179.3062678,rdfs_owlrl,edge2,269.645573
policy_governance,Edge,replicated,55.461741,3,57.2317404,rdfs_owlrl,edge2,167.425796
security_identity,Edge,replicated,15.843593,3,16.3358255,rdfs_owlrl,edge2,47.431204
semantic_schema,Edge,replicated,15.070056,3,15.4869891,rdfs_owlrl,edge2,45.664834
topology,Edge,replicated,14.720352,3,15.022035599999999,rdfs_owlrl,edge2,44.494907999999995
trust,Edge,replicated,31.7683525,6,145.01556875,rdfs_owlrl,edge2,335.153167
adaptation,Edge,replicated,8.472844,3,8.5405942,rdfs_owlrl,edge3,25.064402
audit_temporal,Edge,replicated,190.04571900000002,6,213.70873975,rdfs_owlrl,edge3,900.033958
context_zones,Edge,replicated,15.201204,3,15.3559041,rdfs_owlrl,edge3,45.559668
data_lifecycle,Edge,replicated,10.907477,3,11.0640266,rdfs_owlrl,edge3,32.821023
decision,Edge,replicated,29.254,9,34.5159168,rdfs_owlrl,edge3,241.225785
federation,Edge,replicated,29.108888,3,29.1802886,rdfs_owlrl,edge3,86.614941
identity_consent,Edge,replicated,37.574297,6,59.328542250000005,rdfs_owlrl,edge3,225.326412
observability,Edge,replicated,33.697061,3,34.2947114,rdfs_owlrl,edge3,101.39244199999999
semantic_schema,Edge,replicated,29.242129,3,142.2865543,rdfs_owlrl,edge3,212.362099
topology,Edge,replicated,22.021694,3,22.094910799999997,rdfs_owlrl,edge3,65.993637
validation,Edge,replicated,178.683853,3,179.0346874,rdfs_owlrl,edge3,535.7628179999999
adaptation,Fog,replicated,80.870518,3,82.5757183,rdfs_owlrl,fog,244.09862900000002
data_lifecycle,Fog,replicated,18.984259,3,128.0415421,rdfs_owlrl,fog,176.786499
delegation,Fog,replicated,68.706426,3,70.3521588,rdfs_owlrl,fog,207.773499
federation,Fog,replicated,27.0717225,6,28.10907425,rdfs_owlrl,fog,161.857149
identity_consent,Fog,replicated,20.593815,6,29.98342625,rdfs_owlrl,fog,123.914205
observability,Fog,replicated,34.751537,3,35.1050543,rdfs_owlrl,fog,104.488538
policy_governance,Fog,replicated,35.004426,3,35.0119095,rdfs_owlrl,fog,104.351186
security_identity,Fog,replicated,13.124018,3,14.2488353,rdfs_owlrl,fog,40.461463
topology,Fog,replicated,11.414519,3,11.8525013,rdfs_owlrl,fog,34.456796
trust,Fog,replicated,25.5792035,6,27.4768425,rdfs_owlrl,fog,154.333184
wellbeing,Fog,replicated,19.541334,9,23.472269999999998,rdfs_owlrl,fog,171.348631
identity_consent,Cloud,sharded,3.9454595,6,3.981942,owlrl,cloud,23.447422
policy_governance,Cloud,sharded,14.6200705,24,55.2820894,owlrl,cloud,533.599936
security_identity,Cloud,sharded,3.1357869999999997,6,3.8660625,owlrl,cloud,18.664702
semantic_schema,Cloud,sharded,6.165276,12,18.409842249999997,owlrl,cloud,102.386071
validation,Cloud,sharded,13.4553565,12,55.05023299999996,owlrl,cloud,246.553621
adaptation,Edge,sharded,20.712963000000002,24,67.12318635,owlrl,edge1,573.234462
audit_temporal,Edge,sharded,97.75724,15,187.44055609999987,owlrl,edge1,1417.77889
context_zones,Edge,sharded,18.875722,18,61.3498728,owlrl,edge1,479.752999
data_lifecycle,Edge,sharded,20.3961385,24,43.326969649999995,owlrl,edge1,550.64487
decision,Edge,sharded,31.851695,42,50.50739519999999,owlrl,edge1,1374.6223909999999
delegation,Edge,sharded,21.213945,15,57.0450759,owlrl,edge1,401.353181
federation,Edge,sharded,26.663815,21,39.586537,owlrl,edge1,547.351555
identity_consent,Edge,sharded,26.5649255,48,61.45715865,owlrl,edge1,1476.803238
observability,Edge,sharded,29.697722,3,29.7524393,owlrl,edge1,88.816111
security_identity,Edge,sharded,33.118046500000005,12,89.77751375000001,owlrl,edge1,525.943035
topology,Edge,sharded,22.206833,3,22.2815501,owlrl,edge1,66.403666
trust,Edge,sharded,35.306490499999995,6,47.505727,owlrl,edge1,211.590295
wellbeing,Edge,sharded,20.214111000000003,12,25.5334021,owlrl,edge1,242.172074
adaptation,Edge,sharded,19.7242595,24,37.826137450000004,owlrl,edge2,470.14383200000003
audit_temporal,Edge,sharded,35.942852,15,100.3425666,owlrl,edge2,785.2973900000001
context_zones,Edge,sharded,25.1782965,12,59.11061675,owlrl,edge2,358.35877999999997
data_lifecycle,Edge,sharded,19.9617775,24,41.66072594999999,owlrl,edge2,530.806331
decision,Edge,sharded,26.602834,45,48.0282888,owlrl,edge2,1285.707016
delegation,Edge,sharded,21.9229445,12,29.5174193,owlrl,edge2,258.513779
federation,Edge,sharded,24.541278,21,38.175389,owlrl,edge2,513.545574
identity_consent,Edge,sharded,23.541675499999997,48,43.586754049999996,owlrl,edge2,1176.687148
observability,Edge,sharded,25.793805499999998,6,28.260111000000002,owlrl,edge2,155.022574
security_identity,Edge,sharded,27.419972,12,156.95265509999987,owlrl,edge2,631.160205
topology,Edge,sharded,21.881435500000002,6,22.915097,owlrl,edge2,131.49974
trust,Edge,sharded,32.447509,6,161.40384275000002,owlrl,edge2,348.68922100000003
wellbeing,Edge,sharded,19.354333,9,22.9550038,owlrl,edge2,181.588258
adaptation,Edge,sharded,19.600913,24,37.8433717,owlrl,edge3,470.135235
audit_temporal,Edge,sharded,34.68384,15,100.1979936,owlrl,edge3,775.912988
context_zones,Edge,sharded,26.203107,12,60.125696049999995,owlrl,edge3,368.050443
data_lifecycle,Edge,sharded,19.877219,24,39.6400267,owlrl,edge3,510.475212
decision,Edge,sharded,26.635283,42,48.006132799999996,owlrl,edge3,1341.275325
delegation,Edge,sharded,21.899647,12,29.164751199999998,owlrl,edge3,256.708819
federation,Edge,sharded,24.393141,21,38.284993,owlrl,edge3,507.563341
identity_consent,Edge,sharded,23.568103999999998,48,44.42898655,owlrl,edge3,1181.437032
observability,Edge,sharded,27.95172,3,28.5808047,owlrl,edge3,84.012772
security_identity,Edge,sharded,27.043821,12,144.31688709999992,owlrl,edge3,599.730381
topology,Edge,sharded,20.422785,3,21.1625184,owlrl,edge3,62.082003
trust,Edge,sharded,32.493114500000004,6,45.720756,owlrl,edge3,195.165484
wellbeing,Edge,sharded,19.187506,9,23.0707736,owlrl,edge3,179.181596
decision,Fog,sharded,25.417667,6,34.538528,owlrl,fog,152.421389
observability,Fog,sharded,36.056518,9,168.1718512,owlrl,fog,498.70473799999996
topology,Fog,sharded,12.7485925,6,15.863884249999998,owlrl,fog,78.216185
trust,Fog,sharded,26.3472965,12,31.8117926,owlrl,fog,315.602908
identity_consent,Cloud,sharded,3.8725509999999996,6,3.930411,rdfs,cloud,23.18725
policy_governance,Cloud,sharded,14.006314,24,64.24511559999998,rdfs,cloud,613.99668
security_identity,Cloud,sharded,2.874402,6,3.68303625,rdfs,cloud,17.943452
semantic_schema,Cloud,sharded,6.4695730000000005,12,27.179362099999985,rdfs,cloud,132.738856
validation,Cloud,sharded,13.0282685,12,49.49539934999999,rdfs,cloud,238.615492
adaptation,Edge,sharded,20.761963,24,67.11552845,rdfs,edge1,572.820648
audit_temporal,Edge,sharded,78.2175,15,119.2406243,rdfs,edge1,1137.073685
context_zones,Edge,sharded,18.5580185,18,61.3967271,rdfs,edge1,478.195223
data_lifecycle,Edge,sharded,21.865018499999998,24,141.98688019999975,rdfs,edge1,837.264739
decision,Edge,sharded,31.419796499999997,42,50.34173995,rdfs,edge1,1391.614519
delegation,Edge,sharded,21.351204,15,57.2925477,rdfs,edge1,400.22122
federation,Edge,sharded,26.560537,21,39.608463,rdfs,edge1,545.260612
identity_consent,Edge,sharded,26.316212999999998,48,52.05768719999999,rdfs,edge1,1441.337236
observability,Edge,sharded,29.320019,3,29.8166183,rdfs,edge1,88.47807399999999
security_identity,Edge,sharded,31.923768000000003,12,155.03973629999996,rdfs,edge1,688.760982
topology,Edge,sharded,21.736241,3,22.2061742,rdfs,edge1,65.626427
trust,Edge,sharded,37.210722,6,46.499407,rdfs,edge1,224.23994399999998
wellbeing,Edge,sharded,19.613824,12,25.285498999999998,rdfs,edge1,237.687964
adaptation,Edge,sharded,19.752778,24,37.85035825,rdfs,edge2,470.770907
audit_temporal,Edge,sharded,37.709759,15,120.06415169999987,rdfs,edge2,883.9535559999999
context_zones,Edge,sharded,25.258963,12,59.30356435,rdfs,edge2,360.225369
data_lifecycle,Edge,sharded,20.2599725,24,39.9555191,rdfs,edge2,519.233353
decision,Edge,sharded,26.492704,45,47.7703264,rdfs,edge2,1284.409147
delegation,Edge,sharded,22.069667,12,30.3515645,rdfs,edge2,261.066371
federation,Edge,sharded,24.512667,21,38.163629,rdfs,edge2,507.765666
identity_consent,Edge,sharded,23.2768795,48,45.04546585,rdfs,edge2,1369.337297
observability,Edge,sharded,27.549537,6,28.2364255,rdfs,edge2,157.725796
