attributed_query_ms,completed_request_equivalents,mean_query_ms,policy,reasoner
37.774512,10.5,3.5975725714285716,P-OPS-02,rdfs
21.559274,4.5,4.790949777777778,P-OPS-03,rdfs
26.766592,4.5,5.948131555555555,P-VAL-01,rdfs
55.742988,6.5,8.575844307692307,P-VAL-04,rdfs
93.63510766666667,16.5,5.674855010101011,P-NODE-01,rdfs
131.74979866666666,14.5,9.086193011494252,P-NODE-03,rdfs
581.3960496666666,16.5,35.236124222222216,P-OPS-05,rdfs
5415.5793459999995,27.5,196.93015803636362,P-CONS-01,rdfs
78260.41275083333,25.5,3069.0357941503266,P-DATA-02,rdfs
235.96670083333333,20.5,11.510570772357724,P-DATA-03,rdfs
2019.7424433333333,18.0,112.20791351851852,P-DATA-10,rdfs
1601.551174,7.5,213.54015653333332,P-DATA-01,rdfs
2354.8099388333335,24.833333333333332,94.82456129530202,P-ZONE-01,rdfs
460.21903399999997,8.0,57.527379249999996,P-ZONE-02,rdfs
1404.965479,13.0,108.07426761538461,P-DATA-07,rdfs
31.623813,4.5,7.027514,P-NODE-04,rdfs
111.5565805,23.5,4.747088531914893,P-FL-08,rdfs
69.30688516666666,13.833333333333334,5.010136277108433,P-MODEL-01,rdfs
221.50852749999999,14.0,15.822037678571428,P-GOV-01,rdfs
201.5136905,8.0,25.1892113125,P-GOV-04,rdfs
14.143169,4.5,3.1429264444444445,P-ADAPT-01,rdfs
928.1754561666667,26.0,35.69905600641026,P-NODE-02,rdfs
21.614766999999997,5.333333333333333,4.0527688125,P-ADAPT-02,rdfs
20.67924833333333,5.0,4.135849666666666,P-AUD-01,rdfs
91.030021,12.0,7.5858350833333335,P-AUD-05,rdfs
52.986576,10.583333333333334,5.006605606299212,P-FL-01,rdfs
53.084897,9.25,5.738907783783784,P-FL-03,rdfs
29.497127499999998,5.75,5.129935217391304,P-FL-05,rdfs
55.96610833333333,6.583333333333333,8.501181012658227,P-FL-07,rdfs
329.084089,12.0,27.423674083333335,P-AUD-07,rdfs
209.530171,14.0,14.966440785714285,P-VAL-03,rdfs
1976.900619,9.0,219.65562433333332,P-INT-02,rdfs
635.694574,29.0,21.920502551724137,P-VAL-06,rdfs
68.557898,17.0,4.032817529411765,P-CONS-05,rdfs
194.30005916666667,8.5,22.85883049019608,P-NODE-05,rdfs
75.473327,17.0,4.439607470588236,P-ADAPT-05,rdfs
113.09392199999999,18.833333333333332,6.004987008849557,P-ADAPT-06,rdfs
52.18444133333333,9.0,5.798271259259259,P-FL-02,rdfs
51.78996433333333,9.0,5.754440481481481,P-FL-04,rdfs
339.7202561666667,25.833333333333332,13.15046152903226,P-AUD-06,rdfs
23.936895,6.5,3.6825992307692306,P-OPS-01,rdfs
23.017957,6.0,3.8363261666666664,P-INT-01,rdfs
149.122699,15.0,9.941513266666668,P-VAL-07,rdfs
982.0340074999999,5.5,178.55163772727272,P-DATA-04,rdfs
933.1621509999999,2.0,466.58107549999994,P-DATA-06,rdfs
3960.296335833333,40.333333333333336,98.18916535123967,P-CONS-04,rdfs
5.83807,2.0,2.919035,P-MODEL-06,rdfs
82.79570666666666,9.0,9.199522962962963,P-MODEL-03,rdfs
293.11968766666666,26.333333333333332,11.131127379746836,P-MODEL-05,rdfs
1192.7102655,30.5,39.10525460655738,P-GOV-03,rdfs
2477.6141118333335,12.5,198.20912894666668,P-AUD-02,rdfs
9.773920333333333,2.0,4.886960166666666,P-AUD-03,rdfs
9517.5473855,13.5,705.003510037037,P-GOV-05,rdfs
23584.71569,17.0,1387.3362170588236,P-CONS-02,rdfs
2930.273425,10.0,293.0273425,P-CONS-03,rdfs
19.9319405,6.5,3.0664523846153844,P-DATA-05,rdfs
31.972488,2.333333333333333,13.702494857142858,P-FL-06,rdfs
279.09936,7.0,39.87133714285714,P-VAL-08,rdfs
9.414212000000001,3.5,2.6897748571428575,P-AUD-04,rdfs
471.791064,14.0,33.699361714285715,P-DATA-08,rdfs
11.6849395,3.5,3.338554142857143,P-ZONE-03,rdfs
45.827445,3.5,13.093555714285714,P-ADAPT-04,rdfs
45.827445,3.5,13.093555714285714,P-ADAPT-07,rdfs
43.115992999999996,3.5,12.318855142857142,P-MODEL-02,rdfs
250.81004299999998,7.0,35.83000614285714,P-DATA-09,rdfs
109.533741,14.0,7.823838642857143,P-MODEL-04,rdfs
10.709439,2.333333333333333,4.589759571428572,P-ADAPT-03,rdfs
195.246265,10.5,18.59488238095238,P-MODEL-08,rdfs
19.890442333333333,2.333333333333333,8.524475285714287,P-MODEL-07,rdfs
29.407606,8.0,3.67595075,P-OPS-02,owlrl
16.142901000000002,3.0,5.380967000000001,P-OPS-03,owlrl
17.813461,3.0,5.937820333333334,P-VAL-01,owlrl
32.461917666666665,4.666666666666667,6.956125214285714,P-VAL-04,owlrl
86.7489735,12.5,6.93991788,P-NODE-01,owlrl
267.6572145,9.0,29.739690500000002,P-NODE-03,owlrl
352.3937595,10.5,33.561310428571424,P-OPS-05,owlrl
3233.195061833333,16.666666666666668,193.99170370999997,P-CONS-01,owlrl
64789.90480733333,19.0,3409.994989859649,P-DATA-02,owlrl
97.06581633333333,12.0,8.088818027777778,P-DATA-03,owlrl
1625.5315453333333,13.0,125.0408881025641,P-DATA-10,owlrl
1222.9746304999999,5.5,222.3590237272727,P-DATA-01,owlrl
1655.7799828333334,18.333333333333332,90.3152717909091,P-ZONE-01,owlrl
276.134037,5.0,55.2268074,P-ZONE-02,owlrl
1065.2786915,8.666666666666666,122.91677209615385,P-DATA-07,owlrl
218.1383345,3.0,72.71277816666667,P-NODE-04,owlrl
73.6005605,15.5,4.748423258064516,P-FL-08,owlrl
37.031896,8.333333333333334,4.44382752,P-MODEL-01,owlrl
137.148045,10.0,13.7148045,P-GOV-01,owlrl
120.047601,5.0,24.0095202,P-GOV-04,owlrl
9.295182,3.0,3.0983940000000003,P-ADAPT-01,owlrl
559.9529788333333,18.666666666666668,29.997481008928567,P-NODE-02,owlrl
13.153444666666665,3.333333333333333,3.9460334,P-ADAPT-02,owlrl
15.401950333333334,3.6666666666666665,4.200531909090909,P-AUD-01,owlrl
74.25870833333333,9.5,7.816706140350877,P-AUD-05,owlrl
22.62007175,7.833333333333333,2.8876687340425535,P-FL-01,owlrl
30.88983225,5.5,5.616333136363637,P-FL-03,owlrl
17.49100175,3.5,4.997429071428571,P-FL-05,owlrl
32.02131375,4.5,7.115847499999999,P-FL-07,owlrl
222.045119,8.5,26.122955176470587,P-AUD-07,owlrl
127.66544666666667,10.166666666666666,12.557257049180329,P-VAL-03,owlrl
2002.674406,6.0,333.77906766666666,P-INT-02,owlrl
362.351388,19.0,19.071125684210525,P-VAL-06,owlrl
46.937855,11.0,4.267077727272727,P-CONS-05,owlrl
35.42792433333334,6.166666666666667,5.745068810810811,P-NODE-05,owlrl
95.31910500000001,10.5,9.07801,P-ADAPT-05,owlrl
72.31534133333334,12.333333333333334,5.863406054054054,P-ADAPT-06,owlrl
39.82826,5.666666666666667,7.028516470588235,P-FL-02,owlrl
41.031855,5.666666666666667,7.240915588235294,P-FL-04,owlrl
264.6566495,17.333333333333332,15.268652855769233,P-AUD-06,owlrl
17.076456,4.5,3.794768,P-OPS-01,owlrl
19.653928999999998,5.0,3.9307857999999998,P-INT-01,owlrl
117.60919566666666,10.666666666666666,11.02586209375,P-VAL-07,owlrl
839.487361,3.6666666666666665,228.95109845454544,P-DATA-04,owlrl
781.401222,1.6666666666666665,468.84073320000005,P-DATA-06,owlrl
2345.0075881666667,24.0,97.70864950694444,P-CONS-04,owlrl
4.725528333333333,1.6666666666666665,2.8353170000000003,P-MODEL-06,owlrl
30.793566833333333,5.666666666666667,5.434158852941176,P-MODEL-03,owlrl
179.5715185,15.833333333333334,11.341359063157894,P-MODEL-05,owlrl
603.711583,19.0,31.774293842105266,P-GOV-03,owlrl
1798.510605,7.666666666666667,234.58833978260867,P-AUD-02,owlrl
8.280955,1.6666666666666665,4.968573000000001,P-AUD-03,owlrl
8628.9664825,8.5,1015.1725273529412,P-GOV-05,owlrl
13284.05329,10.0,1328.405329,P-CONS-02,owlrl
1919.342764,6.0,319.8904606666667,P-CONS-03,owlrl
12.4731255,4.0,3.118281375,P-DATA-05,owlrl
7.013091999999999,1.3333333333333333,5.259819,P-FL-06,owlrl
131.332976,4.0,32.833244,P-VAL-08,owlrl
5.317772,2.0,2.658886,P-AUD-04,owlrl
40.390307,8.0,5.048788375,P-DATA-08,owlrl
6.781044,2.0,3.390522,P-ZONE-03,owlrl
20.524386500000002,2.0,10.262193250000001,P-ADAPT-04,owlrl
20.524386500000002,2.0,10.262193250000001,P-ADAPT-07,owlrl
11.9748745,2.0,5.98743725,P-MODEL-02,owlrl
142.826255,4.0,35.70656375,P-DATA-09,owlrl
47.024046,8.0,5.87800575,P-MODEL-04,owlrl
6.032449333333333,1.3333333333333333,4.524337,P-ADAPT-03,owlrl
111.929733,6.0,18.6549555,P-MODEL-08,owlrl
11.404117333333332,1.3333333333333333,8.553087999999999,P-MODEL-07,owlrl
16.660686,4.5,3.702374666666666,P-OPS-02,rdfs_owlrl
8.643363,1.5,5.7622420000000005,P-OPS-03,rdfs_owlrl
9.312927,1.5,6.208618,P-VAL-01,rdfs_owlrl
17.941319,2.5,7.1765276,P-VAL-04,rdfs_owlrl
34.93203066666666,7.0,4.990290095238095,P-NODE-01,rdfs_owlrl
44.25242266666667,5.5,8.045895030303031,P-NODE-03,rdfs_owlrl
175.48676016666667,6.0,29.24779336111111,P-OPS-05,rdfs_owlrl
1445.928519,10.5,137.707478,P-CONS-01,rdfs_owlrl
38721.365222333334,10.5,3687.7490687936506,P-DATA-02,rdfs_owlrl
47.969261833333334,8.5,5.643442568627451,P-DATA-03,rdfs_owlrl
802.8582953333333,7.0,114.6940421904762,P-DATA-10,rdfs_owlrl
1171.750129,3.0,390.5833763333333,P-DATA-01,rdfs_owlrl
1445.3776418333334,10.333333333333334,139.8752556612903,P-ZONE-01,rdfs_owlrl
414.8237835,3.0,138.2745945,P-ZONE-02,rdfs_owlrl
886.3604789999999,5.0,177.2720958,P-DATA-07,rdfs_owlrl
10.566697000000001,1.5,7.044464666666667,P-NODE-04,rdfs_owlrl
34.0563225,7.0,4.8651889285714285,P-FL-08,rdfs_owlrl
24.7630265,5.5,4.502368454545454,P-MODEL-01,rdfs_owlrl
216.629385,6.0,36.1048975,P-GOV-01,rdfs_owlrl
78.621788,3.0,26.207262666666665,P-GOV-04,rdfs_owlrl
4.670388,1.5,3.113592,P-ADAPT-01,rdfs_owlrl
273.72807966666664,10.0,27.372807966666663,P-NODE-02,rdfs_owlrl
