figure,maximum,median,metric,minimum,n,series,x
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,5.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,6.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,7.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,8.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,9.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,10.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,11.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,12.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,13.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,14.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,15.0
sharded-cumulative-time,6.965203829,6.858181274,max_node_reasoning_ms,6.7795221439999995,3,owlrl,16.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,1.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,2.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,3.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,4.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,5.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,6.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,7.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,8.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,9.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,10.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,11.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,12.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,13.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,14.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,15.0
sharded-cumulative-time,1.6914240919999999,1.585808276,max_node_reasoning_ms,1.573619592,3,rdfs,16.0
