architecture,synthetic_users,reasoner,repetition,node_count,status,censored,query_count,source_query_executions,federation_fanout_factor,prepare_wall_ms,node_generation_ms_sum,node_reasoning_ms_sum,max_node_reasoning_ms,query_wall_ms,prepare_transport_retry_count,query_transport_retry_count,node_query_batch_count_sum,max_node_query_batch_count,node_query_ms_sum,node_prepare_process_cpu_ms_sum,node_query_process_cpu_ms_sum,total_process_cpu_ms,max_node_prepare_peak_rss_kib,max_node_query_peak_rss_kib,max_node_peak_rss_kib,sum_node_prepare_current_rss_kib,sum_node_query_current_rss_kib,max_sum_node_current_rss_kib,prepare_request_bytes_sum,prepare_response_bytes_sum,query_request_bytes_sum,query_response_bytes_sum,total_wall_ms,logical_input_triples,aggregate_fragment_triples,aggregate_output_triples,aggregate_inferred_triples,max_fragment_triples,max_fragment_fraction,storage_replication_factor,error,result_validation_rate,reference_status,reference_error,timeout_seconds
physical,500,owlrl,1,5,completed,False,115,269,2.3391304347826085,20596.66642,5582.655842,61850.078085,18361.680711,10881.304729,0,0,5,1,28376.183045000005,69020.192915,28386.327463,97406.520378,1705632,1705632,1705632,2193836,2189772,2193836,840,3442,3411,1604212,31477.971149,43071,73855,145303,71448,18999,0.4411088667548931,1.7147268463699472,,1.0,completed,,
physical,500,owlrl,2,5,completed,False,115,269,2.3391304347826085,20325.249585,5689.676162,61352.716286,18168.701582,10841.623527,0,0,5,1,29144.514375999996,68638.74317100001,29146.355521999998,97785.098693,1705632,1705632,1705632,2190288,2184112,2190288,840,3442,3411,1604189,31166.873112,43071,73855,145303,71448,18999,0.4411088667548931,1.7147268463699472,,1.0,completed,,
physical,500,owlrl,3,5,completed,False,115,269,2.3391304347826085,20281.204828,5735.708609,61449.62663,18179.765878,10827.902995,0,0,5,1,30747.040426000003,68842.082634,30752.582215000002,99594.66484900001,1705632,1705632,1705632,2184884,2118304,2184884,840,3445,3411,1604213,31109.107823000002,43071,73855,145303,71448,18999,0.4411088667548931,1.7147268463699472,,1.0,completed,,
physical,500,rdfs_owlrl,1,5,completed,False,115,269,2.3391304347826085,35226.039205,5808.15551,111918.91589399999,32833.300887,11060.452846,0,0,5,1,29185.991026000003,119221.193677,29196.136558000002,148417.330235,1705632,1705632,1705632,2118052,2114464,2118052,865,3473,3411,1609874,46286.492051,43071,73855,194092,120237,18999,0.4411088667548931,1.7147268463699472,,1.0,completed,,
physical,500,rdfs_owlrl,2,5,completed,False,115,269,2.3391304347826085,34809.553025,5800.169593,111534.014799,32699.428092,11117.484303,0,0,5,1,29182.279943000005,120236.271985,29193.79251,149430.064495,1705632,1705632,1705632,2014264,2012212,2014264,865,3473,3411,1609884,45927.037328,43071,73855,194092,120237,18999,0.4411088667548931,1.7147268463699472,,1.0,completed,,
physical,500,rdfs_owlrl,3,5,completed,False,115,269,2.3391304347826085,35058.43915,5775.621602,112023.858662,32854.498296,11021.403395,0,0,5,1,29313.942917,119222.040325,29328.770121999998,148550.810447,1705632,1705632,1705632,2014268,2006836,2014268,865,3473,3411,1609886,46079.842545,43071,73855,194092,120237,18999,0.4411088667548931,1.7147268463699472,,1.0,completed,,
physical,1000,rdfs,1,5,completed,False,115,269,2.3391304347826085,10801.299946,9251.309407,23972.911748,7437.279385,23225.56464,0,0,5,1,60738.949751,35797.602547,60741.284609999995,96538.88715699999,1705632,1705632,1705632,2001596,1990572,2001596,840,3442,3411,2903644,34026.864585999996,78176,114380,182999,68619,30794,0.3939060581252558,1.46310888252149,,1.0,completed,,
physical,1000,rdfs,2,5,completed,False,115,269,2.3391304347826085,10733.877131,9367.848145,24617.725368,7711.911606,22756.26689,0,0,5,1,60330.04268800001,36211.019629,60338.597526,96549.617155,1705632,1705632,1705632,1991700,1986824,1991700,840,3440,3411,2903640,33490.144021,78176,114380,182999,68619,30794,0.3939060581252558,1.46310888252149,,1.0,completed,,
physical,1000,rdfs,3,5,completed,False,115,269,2.3391304347826085,10711.552179,9592.47141,24281.943767,7498.757496,22673.889347,0,0,5,1,60529.685422999995,36046.531341,60545.440741,96591.972082,1705632,1705632,1705632,1942824,1933612,1942824,840,3439,3411,2903642,33385.441526,78176,114380,182999,68619,30794,0.3939060581252558,1.46310888252149,,1.0,completed,,
physical,1000,owlrl,1,5,completed,False,115,269,2.3391304347826085,32905.613736,9503.859678,96832.143296,29599.220482,24517.294704,0,0,5,1,64873.792223,108230.55057600001,64886.545814,173117.09639,1705632,1705632,1705632,1937724,1921852,1937724,845,3449,3411,2905428,57422.90844,78176,114380,222258,107878,30794,0.3939060581252558,1.46310888252149,,1.0,completed,,
