source,target,kind,predicate,index
http://example.org/smartcity#NonFunctionalRequirement,http://example.org/smartcity#Requirement,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#NonUser,http://xmlns.com/foaf/0.1/Person,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#OffloadingEvent,http://example.org/smartcity#AdaptationAction,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#OntologyArtifact,http://example.org/smartcity#Artifact,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#PhysiologicalObservation,http://www.w3.org/ns/sosa/Observation,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#PhysiologicalParametrizedData,http://example.org/smartcity#ParametrizedData,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#PhysiologicalSensor,http://www.w3.org/ns/sosa/Sensor,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#PolicyArtifact,http://example.org/smartcity#Artifact,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#PseudonymousIdentifier,http://example.org/smartcity#Identifier,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#QueryCatalog,http://example.org/smartcity#Artifact,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#ReplicationEvent,http://example.org/smartcity#TemporalEntity,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#RequirementsArtifact,http://example.org/smartcity#Artifact,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#RestrictedZone,http://example.org/smartcity#CityArea,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#RetentionEvent,http://example.org/smartcity#AdaptationAction,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#RollbackEvent,http://example.org/smartcity#AdaptationAction,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#RuralZone,http://example.org/smartcity#CityArea,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#ScalingEvent,http://example.org/smartcity#AdaptationAction,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#ScenarioArtifact,http://example.org/smartcity#Artifact,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#SemanticContract,http://example.org/smartcity#TemporalEntity,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
http://example.org/smartcity#ServiceState,http://example.org/smartcity#State,subclass,http://www.w3.org/2000/01/rdf-schema#subClassOf,-1
