architecture,endpoint,role,profile,dimension,dimension_value,reasoner,repetition,synthetic_users,target_triples,rule_count,padding_mode,status,error,prepare_wall_ms,generation_ms,reasoning_ms,input_triples,output_triples,inferred_triples,closure_expansion_factor,process_cpu_ms,current_rss_kib,peak_rss_kib,disk_read_bytes,disk_write_bytes,timeout_seconds
physical,http://127.0.0.1:8391,cloud,triples-100000,target_triples,100000,rdfs_owlrl,2,100,100000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-100000,target_triples,100000,rdfs_owlrl,3,100,100000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-250000,target_triples,250000,rdfs,1,100,250000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-250000,target_triples,250000,rdfs,2,100,250000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-250000,target_triples,250000,rdfs,3,100,250000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-250000,target_triples,250000,owlrl,1,100,250000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-250000,target_triples,250000,owlrl,2,100,250000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-250000,target_triples,250000,owlrl,3,100,250000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-250000,target_triples,250000,rdfs_owlrl,1,100,250000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-250000,target_triples,250000,rdfs_owlrl,2,100,250000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-250000,target_triples,250000,rdfs_owlrl,3,100,250000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-500000,target_triples,500000,rdfs,1,100,500000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-500000,target_triples,500000,rdfs,2,100,500000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-500000,target_triples,500000,rdfs,3,100,500000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-500000,target_triples,500000,owlrl,1,100,500000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-500000,target_triples,500000,owlrl,2,100,500000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-500000,target_triples,500000,owlrl,3,100,500000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-500000,target_triples,500000,rdfs_owlrl,1,100,500000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-500000,target_triples,500000,rdfs_owlrl,2,100,500000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,triples-500000,target_triples,500000,rdfs_owlrl,3,100,500000,25,neutral,skipped_after_timeout,"HTTPError: HTTP Error 408: Request Timeout; worker_response={""error"": ""worker phase exceeded 44.0s"", ""timeout"": true}",,,,,,,,,,,,,45.0
physical,http://127.0.0.1:8391,cloud,rules-0,rule_count,0,rdfs,1,500,50000,0,neutral,completed,,5182.867038,189.339827,4569.924117,50000,87875,37875,1.7575,5180.981982,1382180,1381676,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-0,rule_count,0,rdfs,2,500,50000,0,neutral,completed,,5543.34565,208.24875,4472.311482,50000,87875,37875,1.7575,5541.558512,1442296,1441836,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-0,rule_count,0,rdfs,3,500,50000,0,neutral,completed,,5509.949925,647.171226,4465.086551,50000,87875,37875,1.7575,5508.043142,1430772,1441836,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-0,rule_count,0,owlrl,1,500,50000,0,neutral,completed,,14937.248887,141.566244,14489.901202,50000,113918,63918,2.27836,14932.949643,1306164,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-0,rule_count,0,owlrl,2,500,50000,0,neutral,completed,,12880.194069,144.137148,12501.995753,50000,113918,63918,2.27836,12877.067156,1306720,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-0,rule_count,0,owlrl,3,500,50000,0,neutral,completed,,14603.383556,152.429636,13679.581779,50000,113918,63918,2.27836,14598.591222,1280096,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-0,rule_count,0,rdfs_owlrl,1,500,50000,0,neutral,completed,,25349.147451,208.252328,24622.954484,50000,167807,117807,3.35614,25343.989257,1255520,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-0,rule_count,0,rdfs_owlrl,2,500,50000,0,neutral,completed,,24384.494539,141.21955,24012.263828,50000,167807,117807,3.35614,24379.697346,1255520,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-0,rule_count,0,rdfs_owlrl,3,500,50000,0,neutral,completed,,26157.025837,324.069195,24740.684057,50000,167807,117807,3.35614,26151.11148,1244368,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-25,rule_count,25,rdfs,1,500,50000,25,neutral,completed,,8331.250882,569.447882,7165.958711,50000,88175,38175,1.7635,8328.740405,1232272,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-25,rule_count,25,rdfs,2,500,50000,25,neutral,completed,,7238.71507,140.764033,6869.539726,50000,88175,38175,1.7635,7236.535596,1232272,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-25,rule_count,25,rdfs,3,500,50000,25,neutral,completed,,8313.563953,139.141771,7025.321404,50000,88175,38175,1.7635,8311.07659,1210768,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-25,rule_count,25,owlrl,1,500,50000,25,neutral,completed,,22166.745806,898.083125,20461.783626,50000,114166,64166,2.28332,22161.955416,1199632,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-25,rule_count,25,owlrl,2,500,50000,25,neutral,completed,,20423.206553,412.386946,19770.920448,50000,114166,64166,2.28332,20418.757286,1199632,1444856,0,0,45.0
physical,http://127.0.0.1:8391,cloud,rules-25,rule_count,25,owlrl,3,500,50000,25,neutral,completed,,21951.702539,504.39644,20259.640902,50000,114166,64166,2.28332,21946.971215,1156896,1444856,0,0,45.0
